Origin,Destination,og-dest,dest-og,dest-og in og-dest,og_lat,og_long,dest_lat,dest_long,dir_ns,dir_ew
Gicumbi,Kigali,GicumbiKigali,KigaliGicumbi,1,-1.76971,29.94208,-1.970579,30.104429,S,E
Gicumbi,Kimironko,GicumbiKimironko,KimironkoGicumbi,1,-1.76971,29.94208,-1.936238,30.13006,S,E
Gicumbi,Mulindi,GicumbiMulindi,MulindiGicumbi,1,-1.76971,29.94208,-1.477311,30.041967,N,E
Gicumbi,Ruhengeri,GicumbiRuhengeri,RuhengeriGicumbi,1,-1.76971,29.94208,-1.50442,29.63516,N,W
Gitega,Bujumbura,GitegaBujumbura,BujumburaGitega,1,-3.428803,29.924903,-3.361378,29.359878,N,W
Gitega,Kigoma,GitegaKigoma,KigomaGitega,1,-3.428803,29.924903,-4.88615,29.638321,S,W
Gitega,Kobero,GitegaKobero,KoberoGitega,1,-3.428803,29.924903,-2.664787968,30.40996919,N,E
Gitega,Mwanza,GitegaMwanza,MwanzaGitega,1,-3.428803,29.924903,-2.51788,32.8991,N,E
Gitega,Ngozi,GitegaNgozi,NgoziGitega,1,-3.428803,29.924903,-2.91084,29.82443,N,W
Gulu,Lira,GuluLira,LiraGulu,1,2.772404,32.288073,2.258083,32.887407,S,E
Gulu,Masindi,GuluMasindi,MasindiGulu,1,2.772404,32.288073,1.687313,31.713846,S,W
Iringa,Dodoma,IringaDodoma,DodomaIringa,1,-7.768059,35.686072,-6.162959,35.751607,N,E
Iringa,Mbeya,IringaMbeya,MbeyaIringa,1,-7.768059,35.686072,-8.909401,33.460774,S,W
Iringa,Morogoro,IringaMorogoro,MorogoroIringa,1,-7.768059,35.686072,-6.82824,37.667789,N,E
Iringa,Songea,IringaSongea,SongeaIringa,1,-7.768059,35.686072,-10.66551,35.645039,S,W
Kabale,Kasese,KabaleKasese,KaseseKabale,1,-1.241956,29.985616,0.169899,30.078078,N,E
Kabale,Mulindi,KabaleMulindi,MulindiKabale,1,-1.241956,29.985616,-1.477311,30.041967,S,E
Kabale,Ruhengeri,KabaleRuhengeri,RuhengeriKabale,1,-1.241956,29.985616,-1.50442,29.63516,S,W
Kamembe,Bujumbura,KamembeBujumbura,BujumburaKamembe,1,-2.462016,28.907371,-3.361378,29.359878,S,E
Kamembe,Kigali,KamembeKigali,KigaliKamembe,1,-2.462016,28.907371,-1.970579,30.104429,N,E
Kamembe,Kimironko,KamembeKimironko,KimironkoKamembe,1,-2.462016,28.907371,-1.936238,30.13006,N,E
Kamembe,Ngozi,KamembeNgozi,NgoziKamembe,1,-2.462016,28.907371,-2.91084,29.82443,S,E
Kamembe,Rubavu,KamembeRubavu,RubavuKamembe,1,-2.462016,28.907371,-1.69026,29.295179,N,E
Kamembe,Ruhuha,KamembeRuhuha,RuhuhaKamembe,1,-2.462016,28.907371,-2.30838,30.0535,N,E
Kampala,Busia,KampalaBusia,BusiaKampala,1,0.347596,32.58252,0.470669,34.09198,N,E
Kampala,Kasese,KampalaKasese,KaseseKampala,1,0.347596,32.58252,0.169899,30.078078,S,W
Kampala,Masindi,KampalaMasindi,MasindiKampala,1,0.347596,32.58252,1.687313,31.713846,N,W
Kampala,Mbale,KampalaMbale,MbaleKampala,1,0.347596,32.58252,1.078444,34.181006,N,E
Kampala,Musoma,KampalaMusoma,MusomaKampala,1,0.347596,32.58252,-1.4997,33.806351,S,E
Kampala,Owino,KampalaOwino,OwinoKampala,1,0.347596,32.58252,0.31569,32.57811,S,W
Kampala,Soroti,KampalaSoroti,SorotiKampala,1,0.347596,32.58252,1.71553,33.610088,N,E
Kampala,Tororo,KampalaTororo,TororoKampala,1,0.347596,32.58252,0.69313,34.181,N,E
Kapchorwa,Kitale,KapchorwaKitale,KitaleKapchorwa,1,1.399349131,34.44225016,1.01837,35.00283,S,E
Kapchorwa,Mbale,KapchorwaMbale,MbaleKapchorwa,1,1.399349131,34.44225016,1.078444,34.181006,S,W
Kasese,Kabale,KaseseKabale,KabaleKasese,1,0.169899,30.078078,-1.241956,29.985616,S,W
Kasese,Kampala,KaseseKampala,KampalaKasese,1,0.169899,30.078078,0.347596,32.58252,N,E
Kasese,Masindi,KaseseMasindi,MasindiKasese,1,0.169899,30.078078,1.687313,31.713846,N,E
Kasese,Owino,KaseseOwino,OwinoKasese,1,0.169899,30.078078,0.31569,32.57811,N,E
Kasese,Ruhengeri,KaseseRuhengeri,RuhengeriKasese,1,0.169899,30.078078,-1.50442,29.63516,S,W
Kicukiro,Kigali,KicukiroKigali,KigaliKicukiro,1,1.98076,30.104811,-1.970579,30.104429,S,W
Kicukiro,Kimironko,KicukiroKimironko,KimironkoKicukiro,1,1.98076,30.104811,-1.936238,30.13006,S,E
Kigali,Gicumbi,KigaliGicumbi,GicumbiKigali,1,-1.970579,30.104429,-1.76971,29.94208,N,W
Kigali,Kamembe,KigaliKamembe,KamembeKigali,1,-1.970579,30.104429,-2.462016,28.907371,S,W
Kigali,Kicukiro,KigaliKicukiro,KicukiroKigali,1,-1.970579,30.104429,1.98076,30.104811,N,E
Kigali,Kimironko,KigaliKimironko,KimironkoKigali,1,-1.970579,30.104429,-1.936238,30.13006,N,E
Kigali,Kobero,KigaliKobero,KoberoKigali,1,-1.970579,30.104429,-2.664787968,30.40996919,S,E
Kigali,Ngozi,KigaliNgozi,NgoziKigali,1,-1.970579,30.104429,-2.91084,29.82443,S,W
Kigali,Ruhengeri,KigaliRuhengeri,RuhengeriKigali,1,-1.970579,30.104429,-1.50442,29.63516,N,W
Kigali,Ruhuha,KigaliRuhuha,RuhuhaKigali,1,-1.970579,30.104429,-2.30838,30.0535,S,W
Kigoma,Arusha,KigomaArusha,ArushaKigoma,1,-4.88615,29.638321,-3.386925,36.682993,N,E
Kigoma,Bujumbura,KigomaBujumbura,BujumburaKigoma,1,-4.88615,29.638321,-3.361378,29.359878,N,W
Kigoma,Gitega,KigomaGitega,GitegaKigoma,1,-4.88615,29.638321,-3.428803,29.924903,N,E
Kigoma,Kobero,KigomaKobero,KoberoKigoma,1,-4.88615,29.638321,-2.664787968,30.40996919,N,E
Kigoma,Mbeya,KigomaMbeya,MbeyaKigoma,1,-4.88615,29.638321,-8.909401,33.460774,S,E
Kigoma,Mwanza,KigomaMwanza,MwanzaKigoma,1,-4.88615,29.638321,-2.51788,32.8991,N,E
Kigoma,Tunduma,KigomaTunduma,TundumaKigoma,1,-4.88615,29.638321,-9.30806,32.77507,S,E
Kimironko,Gicumbi,KimironkoGicumbi,GicumbiKimironko,1,-1.936238,30.13006,-1.76971,29.94208,N,W
Kimironko,Kamembe,KimironkoKamembe,KamembeKimironko,1,-1.936238,30.13006,-2.462016,28.907371,S,W
Kimironko,Kicukiro,KimironkoKicukiro,KicukiroKimironko,1,-1.936238,30.13006,1.98076,30.104811,N,W
Kimironko,Kigali,KimironkoKigali,KigaliKimironko,1,-1.936238,30.13006,-1.970579,30.104429,S,W
Kimironko,Ruhuha,KimironkoRuhuha,RuhuhaKimironko,1,-1.936238,30.13006,-2.30838,30.0535,S,W
Kisumu,Busia,KisumuBusia,BusiaKisumu,1,-0.091702,34.767957,0.470669,34.09198,N,W
Kisumu,Eldoret,KisumuEldoret,EldoretKisumu,1,-0.091702,34.767957,0.514277,35.26978,N,E
Kisumu,Kitale,KisumuKitale,KitaleKisumu,1,-0.091702,34.767957,1.01837,35.00283,N,E
Kisumu,Musoma,KisumuMusoma,MusomaKisumu,1,-0.091702,34.767957,-1.4997,33.806351,S,W
Kisumu,Nakuru,KisumuNakuru,NakuruKisumu,1,-0.091702,34.767957,-0.28149,36.078419,S,E
Kisumu,Tororo,KisumuTororo,TororoKisumu,1,-0.091702,34.767957,0.69313,34.181,N,W
Kitale,Busia,KitaleBusia,BusiaKitale,1,1.01837,35.00283,0.470669,34.09198,S,W
Kitale,Eldoret,KitaleEldoret,EldoretKitale,1,1.01837,35.00283,0.514277,35.26978,S,E
Kitale,Kapchorwa,KitaleKapchorwa,KapchorwaKitale,1,1.01837,35.00283,1.399349131,34.44225016,N,W
Kitale,Kisumu,KitaleKisumu,KisumuKitale,1,1.01837,35.00283,-0.091702,34.767957,S,W
Kitale,Mbale,KitaleMbale,MbaleKitale,1,1.01837,35.00283,1.078444,34.181006,N,W
Kitale,Tororo,KitaleTororo,TororoKitale,1,1.01837,35.00283,0.69313,34.181,S,W
Kobero,Gitega,KoberoGitega,GitegaKobero,1,-2.664787968,30.40996919,-3.428803,29.924903,S,W
Kobero,Kigali,KoberoKigali,KigaliKobero,1,-2.664787968,30.40996919,-1.970579,30.104429,N,W
Kobero,Kigoma,KoberoKigoma,KigomaKobero,1,-2.664787968,30.40996919,-4.88615,29.638321,S,W
Kobero,Mwanza,KoberoMwanza,MwanzaKobero,1,-2.664787968,30.40996919,-2.51788,32.8991,N,E
Kobero,Ngozi,KoberoNgozi,NgoziKobero,1,-2.664787968,30.40996919,-2.91084,29.82443,S,W
Kobero,Ruhuha,KoberoRuhuha,RuhuhaKobero,1,-2.664787968,30.40996919,-2.30838,30.0535,N,W
Lira,Gulu,LiraGulu,GuluLira,1,2.258083,32.887407,2.772404,32.288073,N,W
Lira,Masindi,LiraMasindi,MasindiLira,1,2.258083,32.887407,1.687313,31.713846,S,W
Lira,Soroti,LiraSoroti,SorotiLira,1,2.258083,32.887407,1.71553,33.610088,S,E
Machakos,Arusha,MachakosArusha,ArushaMachakos,1,-1.517684,37.263415,-3.386925,36.682993,S,W
Machakos,Makueni,MachakosMakueni,MakueniMachakos,1,-1.517684,37.263415,-1.786495,37.631107,S,E
Machakos,Meru,MachakosMeru,MeruMachakos,1,-1.517684,37.263415,0.051472,37.645604,N,E
Machakos,Mombasa,MachakosMombasa,MombasaMachakos,1,-1.517684,37.263415,-4.043477,39.668207,S,E
Machakos,Moshi,MachakosMoshi,MoshiMachakos,1,-1.517684,37.263415,-3.34882,37.343151,S,E
Machakos,Nairobi,MachakosNairobi,NairobiMachakos,1,-1.517684,37.263415,-1.292066,36.821945,N,W
Makueni,Arusha,MakueniArusha,ArushaMakueni,1,-1.786495,37.631107,-3.386925,36.682993,S,W
Makueni,Machakos,MakueniMachakos,MachakosMakueni,1,-1.786495,37.631107,-1.517684,37.263415,N,W
Makueni,Meru,MakueniMeru,MeruMakueni,1,-1.786495,37.631107,0.051472,37.645604,N,E
Makueni,Mombasa,MakueniMombasa,MombasaMakueni,1,-1.786495,37.631107,-4.043477,39.668207,S,E
Makueni,Moshi,MakueniMoshi,MoshiMakueni,1,-1.786495,37.631107,-3.34882,37.343151,S,W
Makueni,Nairobi,MakueniNairobi,NairobiMakueni,1,-1.786495,37.631107,-1.292066,36.821945,N,W
Masindi,Gulu,MasindiGulu,GuluMasindi,1,1.687313,31.713846,2.772404,32.288073,N,E
Masindi,Kampala,MasindiKampala,KampalaMasindi,1,1.687313,31.713846,0.347596,32.58252,S,E
Masindi,Kasese,MasindiKasese,KaseseMasindi,1,1.687313,31.713846,0.169899,30.078078,S,W
Masindi,Lira,MasindiLira,LiraMasindi,1,1.687313,31.713846,2.258083,32.887407,N,E
Masindi,Owino,MasindiOwino,OwinoMasindi,1,1.687313,31.713846,0.31569,32.57811,S,E
Mbale,Kampala,MbaleKampala,KampalaMbale,1,1.078444,34.181006,0.347596,32.58252,S,W
Mbale,Kapchorwa,MbaleKapchorwa,KapchorwaMbale,1,1.078444,34.181006,1.399349131,34.44225016,N,E
Mbale,Kitale,MbaleKitale,KitaleMbale,1,1.078444,34.181006,1.01837,35.00283,S,E
Mbale,Owino,MbaleOwino,OwinoMbale,1,1.078444,34.181006,0.31569,32.57811,S,W
Mbale,Soroti,MbaleSoroti,SorotiMbale,1,1.078444,34.181006,1.71553,33.610088,N,W
Mbale,Tororo,MbaleTororo,TororoMbale,1,1.078444,34.181006,0.69313,34.181,S,W
Mbeya,Dodoma,MbeyaDodoma,DodomaMbeya,1,-8.909401,33.460774,-6.162959,35.751607,N,E
Mbeya,Iringa,MbeyaIringa,IringaMbeya,1,-8.909401,33.460774,-7.768059,35.686072,N,E
Mbeya,Kigoma,MbeyaKigoma,KigomaMbeya,1,-8.909401,33.460774,-4.88615,29.638321,N,W
Mbeya,Mwanza,MbeyaMwanza,MwanzaMbeya,1,-8.909401,33.460774,-2.51788,32.8991,N,W
Mbeya,Songea,MbeyaSongea,SongeaMbeya,1,-8.909401,33.460774,-10.66551,35.645039,S,E
Mbeya,Tunduma,MbeyaTunduma,TundumaMbeya,1,-8.909401,33.460774,-9.30806,32.77507,S,W
Meru,Eldoret,MeruEldoret,EldoretMeru,1,0.051472,37.645604,0.514277,35.26978,N,W
Meru,Machakos,MeruMachakos,MachakosMeru,1,0.051472,37.645604,-1.517684,37.263415,S,W
Meru,Makueni,MeruMakueni,MakueniMeru,1,0.051472,37.645604,-1.786495,37.631107,S,W
Meru,Nairobi,MeruNairobi,NairobiMeru,1,0.051472,37.645604,-1.292066,36.821945,S,W
Meru,Nakuru,MeruNakuru,NakuruMeru,1,0.051472,37.645604,-0.28149,36.078419,S,W
Mombasa,Machakos,MombasaMachakos,MachakosMombasa,1,-4.043477,39.668207,-1.517684,37.263415,N,W
Mombasa,Makueni,MombasaMakueni,MakueniMombasa,1,-4.043477,39.668207,-1.786495,37.631107,N,W
Mombasa,Moshi,MombasaMoshi,MoshiMombasa,1,-4.043477,39.668207,-3.34882,37.343151,N,W
Mombasa,Nairobi,MombasaNairobi,NairobiMombasa,1,-4.043477,39.668207,-1.292066,36.821945,N,W
Mombasa,Tanga,MombasaTanga,TangaMombasa,1,-4.043477,39.668207,-5.07013,39.104931,S,W
Morogoro,Arusha,MorogoroArusha,ArushaMorogoro,1,-6.82824,37.667789,-3.386925,36.682993,N,W
Morogoro,Dar es salaam,MorogoroDar es salaam,Dar es salaamMorogoro,1,-6.82824,37.667789,-6.792354,39.208328,N,E
Morogoro,Dodoma,MorogoroDodoma,DodomaMorogoro,1,-6.82824,37.667789,-6.162959,35.751607,N,W
Morogoro,Iringa,MorogoroIringa,IringaMorogoro,1,-6.82824,37.667789,-7.768059,35.686072,S,W
Morogoro,Moshi,MorogoroMoshi,MoshiMorogoro,1,-6.82824,37.667789,-3.34882,37.343151,N,W
Morogoro,Tanga,MorogoroTanga,TangaMorogoro,1,-6.82824,37.667789,-5.07013,39.104931,N,E
Moshi,Arusha,MoshiArusha,ArushaMoshi,1,-3.34882,37.343151,-3.386925,36.682993,S,W
Moshi,Dar es salaam,MoshiDar es salaam,Dar es salaamMoshi,1,-3.34882,37.343151,-6.792354,39.208328,S,E
Moshi,Machakos,MoshiMachakos,MachakosMoshi,1,-3.34882,37.343151,-1.517684,37.263415,N,W
Moshi,Makueni,MoshiMakueni,MakueniMoshi,1,-3.34882,37.343151,-1.786495,37.631107,N,E
Moshi,Mombasa,MoshiMombasa,MombasaMoshi,1,-3.34882,37.343151,-4.043477,39.668207,S,E
Moshi,Morogoro,MoshiMorogoro,MorogoroMoshi,1,-3.34882,37.343151,-6.82824,37.667789,S,E
Moshi,Nairobi,MoshiNairobi,NairobiMoshi,1,-3.34882,37.343151,-1.292066,36.821945,N,W
Moshi,Tanga,MoshiTanga,TangaMoshi,1,-3.34882,37.343151,-5.07013,39.104931,S,E
Mulindi,Gicumbi,MulindiGicumbi,GicumbiMulindi,1,-1.477311,30.041967,-1.76971,29.94208,S,W
Mulindi,Kabale,MulindiKabale,KabaleMulindi,1,-1.477311,30.041967,-1.241956,29.985616,N,W
Mulindi,Ruhengeri,MulindiRuhengeri,RuhengeriMulindi,1,-1.477311,30.041967,-1.50442,29.63516,S,W
Musoma,Arusha,MusomaArusha,ArushaMusoma,1,-1.4997,33.806351,-3.386925,36.682993,S,E
Musoma,Kampala,MusomaKampala,KampalaMusoma,1,-1.4997,33.806351,0.347596,32.58252,N,W
Musoma,Kisumu,MusomaKisumu,KisumuMusoma,1,-1.4997,33.806351,-0.091702,34.767957,N,E
Musoma,Mwanza,MusomaMwanza,MwanzaMusoma,1,-1.4997,33.806351,-2.51788,32.8991,S,W
Musoma,Nairobi,MusomaNairobi,NairobiMusoma,1,-1.4997,33.806351,-1.292066,36.821945,N,E
Musoma,Nakuru,MusomaNakuru,NakuruMusoma,1,-1.4997,33.806351,-0.28149,36.078419,N,E
Musoma,Owino,MusomaOwino,OwinoMusoma,1,-1.4997,33.806351,0.31569,32.57811,N,W
Mwanza,Arusha,MwanzaArusha,ArushaMwanza,1,-2.51788,32.8991,-3.386925,36.682993,S,E
Mwanza,Dodoma,MwanzaDodoma,DodomaMwanza,1,-2.51788,32.8991,-6.162959,35.751607,S,E
Mwanza,Gitega,MwanzaGitega,GitegaMwanza,1,-2.51788,32.8991,-3.428803,29.924903,S,W
Mwanza,Kigoma,MwanzaKigoma,KigomaMwanza,1,-2.51788,32.8991,-4.88615,29.638321,S,W
Mwanza,Kobero,MwanzaKobero,KoberoMwanza,1,-2.51788,32.8991,-2.664787968,30.40996919,S,W
Mwanza,Mbeya,MwanzaMbeya,MbeyaMwanza,1,-2.51788,32.8991,-8.909401,33.460774,S,E
Mwanza,Musoma,MwanzaMusoma,MusomaMwanza,1,-2.51788,32.8991,-1.4997,33.806351,N,E
Nairobi,Arusha,NairobiArusha,ArushaNairobi,1,-1.292066,36.821945,-3.386925,36.682993,S,W
Nairobi,Machakos,NairobiMachakos,MachakosNairobi,1,-1.292066,36.821945,-1.517684,37.263415,S,E
Nairobi,Makueni,NairobiMakueni,MakueniNairobi,1,-1.292066,36.821945,-1.786495,37.631107,S,E
Nairobi,Meru,NairobiMeru,MeruNairobi,1,-1.292066,36.821945,0.051472,37.645604,N,E
Nairobi,Mombasa,NairobiMombasa,MombasaNairobi,1,-1.292066,36.821945,-4.043477,39.668207,S,E
Nairobi,Moshi,NairobiMoshi,MoshiNairobi,1,-1.292066,36.821945,-3.34882,37.343151,S,E
Nairobi,Musoma,NairobiMusoma,MusomaNairobi,1,-1.292066,36.821945,-1.4997,33.806351,S,W
Nairobi,Nakuru,NairobiNakuru,NakuruNairobi,1,-1.292066,36.821945,-0.28149,36.078419,N,W
Nakuru,Eldoret,NakuruEldoret,EldoretNakuru,1,-0.28149,36.078419,0.514277,35.26978,N,W
Nakuru,Kisumu,NakuruKisumu,KisumuNakuru,1,-0.28149,36.078419,-0.091702,34.767957,N,W
Nakuru,Meru,NakuruMeru,MeruNakuru,1,-0.28149,36.078419,0.051472,37.645604,N,E
Nakuru,Musoma,NakuruMusoma,MusomaNakuru,1,-0.28149,36.078419,-1.4997,33.806351,S,W
Nakuru,Nairobi,NakuruNairobi,NairobiNakuru,1,-0.28149,36.078419,-1.292066,36.821945,S,E
Ngozi,Bujumbura,NgoziBujumbura,BujumburaNgozi,1,-2.91084,29.82443,-3.361378,29.359878,S,W
Ngozi,Gitega,NgoziGitega,GitegaNgozi,1,-2.91084,29.82443,-3.428803,29.924903,S,E
Ngozi,Kamembe,NgoziKamembe,KamembeNgozi,1,-2.91084,29.82443,-2.462016,28.907371,N,W
Ngozi,Kigali,NgoziKigali,KigaliNgozi,1,-2.91084,29.82443,-1.970579,30.104429,N,E
Ngozi,Kobero,NgoziKobero,KoberoNgozi,1,-2.91084,29.82443,-2.664787968,30.40996919,N,E
Ngozi,Rubavu,NgoziRubavu,RubavuNgozi,1,-2.91084,29.82443,-1.69026,29.295179,N,W
Ngozi,Ruhuha,NgoziRuhuha,RuhuhaNgozi,1,-2.91084,29.82443,-2.30838,30.0535,N,E
Owino,Busia,OwinoBusia,BusiaOwino,1,0.31569,32.57811,0.470669,34.09198,N,E
Owino,Kampala,OwinoKampala,KampalaOwino,1,0.31569,32.57811,0.347596,32.58252,N,E
Owino,Kasese,OwinoKasese,KaseseOwino,1,0.31569,32.57811,0.169899,30.078078,S,W
Owino,Masindi,OwinoMasindi,MasindiOwino,1,0.31569,32.57811,1.687313,31.713846,N,W
Owino,Mbale,OwinoMbale,MbaleOwino,1,0.31569,32.57811,1.078444,34.181006,N,E
Owino,Musoma,OwinoMusoma,MusomaOwino,1,0.31569,32.57811,-1.4997,33.806351,S,E
Owino,Soroti,OwinoSoroti,SorotiOwino,1,0.31569,32.57811,1.71553,33.610088,N,E
Owino,Tororo,OwinoTororo,TororoOwino,1,0.31569,32.57811,0.69313,34.181,N,E
Rubavu,Kamembe,RubavuKamembe,KamembeRubavu,1,-1.69026,29.295179,-2.462016,28.907371,S,W
Rubavu,Ngozi,RubavuNgozi,NgoziRubavu,1,-1.69026,29.295179,-2.91084,29.82443,S,E
Rubavu,Ruhengeri,RubavuRuhengeri,RuhengeriRubavu,1,-1.69026,29.295179,-1.50442,29.63516,N,E
Ruhengeri,Gicumbi,RuhengeriGicumbi,GicumbiRuhengeri,1,-1.50442,29.63516,-1.76971,29.94208,S,E
Ruhengeri,Kabale,RuhengeriKabale,KabaleRuhengeri,1,-1.50442,29.63516,-1.241956,29.985616,N,E
Ruhengeri,Kasese,RuhengeriKasese,KaseseRuhengeri,1,-1.50442,29.63516,0.169899,30.078078,N,E
Ruhengeri,Kigali,RuhengeriKigali,KigaliRuhengeri,1,-1.50442,29.63516,-1.970579,30.104429,S,E
Ruhengeri,Mulindi,RuhengeriMulindi,MulindiRuhengeri,1,-1.50442,29.63516,-1.477311,30.041967,N,E
Ruhengeri,Rubavu,RuhengeriRubavu,RubavuRuhengeri,1,-1.50442,29.63516,-1.69026,29.295179,S,W
Ruhuha,Kamembe,RuhuhaKamembe,KamembeRuhuha,1,-2.30838,30.0535,-2.462016,28.907371,S,W
Ruhuha,Kigali,RuhuhaKigali,KigaliRuhuha,1,-2.30838,30.0535,-1.970579,30.104429,N,E
Ruhuha,Kimironko,RuhuhaKimironko,KimironkoRuhuha,1,-2.30838,30.0535,-1.936238,30.13006,N,E
Ruhuha,Kobero,RuhuhaKobero,KoberoRuhuha,1,-2.30838,30.0535,-2.664787968,30.40996919,S,E
Ruhuha,Ngozi,RuhuhaNgozi,NgoziRuhuha,1,-2.30838,30.0535,-2.91084,29.82443,S,W
Songea,Dar es salaam,SongeaDar es salaam,Dar es salaamSongea,1,-10.66551,35.645039,-6.792354,39.208328,N,E
Songea,Iringa,SongeaIringa,IringaSongea,1,-10.66551,35.645039,-7.768059,35.686072,N,E
Songea,Mbeya,SongeaMbeya,MbeyaSongea,1,-10.66551,35.645039,-8.909401,33.460774,N,W
Soroti,Kampala,SorotiKampala,KampalaSoroti,1,1.71553,33.610088,0.347596,32.58252,S,W
Soroti,Lira,SorotiLira,LiraSoroti,1,1.71553,33.610088,2.258083,32.887407,N,W
Soroti,Mbale,SorotiMbale,MbaleSoroti,1,1.71553,33.610088,1.078444,34.181006,S,E
Soroti,Owino,SorotiOwino,OwinoSoroti,1,1.71553,33.610088,0.31569,32.57811,S,W
Tanga,Dar es salaam,TangaDar es salaam,Dar es salaamTanga,1,-5.07013,39.104931,-6.792354,39.208328,S,E
Tanga,Mombasa,TangaMombasa,MombasaTanga,1,-5.07013,39.104931,-4.043477,39.668207,N,E
Tanga,Morogoro,TangaMorogoro,MorogoroTanga,1,-5.07013,39.104931,-6.82824,37.667789,S,W
Tanga,Moshi,TangaMoshi,MoshiTanga,1,-5.07013,39.104931,-3.34882,37.343151,N,W
Tororo,Busia,TororoBusia,BusiaTororo,1,0.69313,34.181,0.470669,34.09198,S,W
Tororo,Eldoret,TororoEldoret,EldoretTororo,1,0.69313,34.181,0.514277,35.26978,S,E
Tororo,Kampala,TororoKampala,KampalaTororo,1,0.69313,34.181,0.347596,32.58252,S,W
Tororo,Kisumu,TororoKisumu,KisumuTororo,1,0.69313,34.181,-0.091702,34.767957,S,E
Tororo,Kitale,TororoKitale,KitaleTororo,1,0.69313,34.181,1.01837,35.00283,N,E
Tororo,Mbale,TororoMbale,MbaleTororo,1,0.69313,34.181,1.078444,34.181006,N,E
Tororo,Owino,TororoOwino,OwinoTororo,1,0.69313,34.181,0.31569,32.57811,S,W
